"","AD3","WT3","AD4","WT4","AD6","WT6","AD9","WT9","AD11","WT11","mo3_log2fc","mo3_P","mo3_Q","mo4_log2fc","mo4_P","mo4_Q","mo6_log2fc","mo6_P","mo6_Q","mo9_log2fc","mo9_P","mo9_Q","mo11_log2fc","mo11_P","mo11_Q","disease","age","interaction","diseaseQ","ageQ","interactionQ"
"A2A432",-0.0136149791934572,0.132962820970213,0.0822556936292048,-0.119565888668565,0.0866908925729134,0.077253806344399,0.0208662401458802,0.273531502352529,-0.362255023783656,0.141482771254283,-0.14657780016367,0.35129647146225,0.842947679402332,0.201821582297769,0.300091684331083,0.969579718056114,0.0094370862285144,0.976525413057346,0.997173059559309,-0.252665262206648,0.376779060230334,0.873295664039923,-0.503737795037939,0.0396768343430915,0.405934819088034,0.170448279913328,0.659616597720022,0.13385595279749,0.469362504785963,0.770011857660634,0.770011857660634
"A2A5R2",-0.103561549000294,0.229365943562024,-0.0676973613610013,0.177372001830906,-0.0544096294111936,0.0823750685448584,-0.113264337180944,-0.0808939060643479,-0.122646195526934,-0.125694672048859,-0.332927492562318,0.163858172516756,0.782803305363714,-0.245069363191907,0.350486230863865,0.969579718056114,-0.136784697956052,0.560744535061883,0.949488977754951,-0.0323704311165958,0.85170864100042,0.980793382058459,0.00304847652192528,0.987758622138423,0.99762288884247,0.132888941072825,0.0667601969540481,0.142530003116013,0.418871944430072,0.151967801443392,0.151967801443392
"A2A690",0.162793351465733,0.105626934451936,0.0927129114141234,0.0322548833371115,0.163258825579949,0.164031064512513,-0.11604093340948,0.0768239536694838,0.11422775571727,0.0313014903073565,0.0571664170137969,0.717800924569511,0.938897055874701,0.0604580280770119,0.688093758596074,0.98902346904353,-0.00077223893256359,0.996102629617479,0.998398972769774,-0.192864887078964,0.351180217323253,0.862310025538936,0.0829262654099133,0.221752578785725,0.674907298267533,0.805015235739725,0.166196574816065,0.513676378162617,0.920252590549093,0.297496430583377,0.297496430583377
"A2A699",-0.0522741769092655,-0.0670082588160996,-0.349467220488119,0.0619402423674675,0.23072043579196,0.16077508664232,-0.0410109877164857,0.0323807264441649,0.252535702062423,0.133377717026255,0.0147340819068341,0.918574279488221,0.98277015220196,-0.411407462855586,0.324746011574766,0.969579718056114,0.0699453491496398,0.713217651375981,0.968971013690131,-0.0733917141606505,0.609680603656628,0.938136139248284,0.119157985036169,0.577070081415536,0.874658486946578,0.417267692662926,0.0901201881089849,0.484768701855367,0.704690755886935,0.191132951799706,0.191132951799706
"A2ADY9",-0.153697344469252,-0.000688580365477053,-0.114507298240907,-0.113343179193992,0.00196975963059939,0.00712222057872939,-0.00100350647999881,-0.0543486557863466,-0.0404666816398702,0.0511805021881033,-0.153008764103775,0.0464960821864722,0.710699881233069,-0.00116411904691534,0.992549338337004,0.997905885256531,-0.00515246094813,0.968732623619314,0.997173059559309,0.0533451493063478,0.662766615808147,0.94559171358372,-0.0916471838279735,0.587588860536311,0.877949687829474,0.33297867041311,0.138480912941162,0.708249742244804,0.643929182905874,0.261019177427152,0.261019177427152
"A2AG50",-0.252132096673349,0.0779837828597881,-0.3124604068434,-0.272819203749156,0.108522080731927,0.090358281678645,0.0312581269606016,0.209622646237155,0.111220349507498,0.365719323603093,-0.330115879533138,0.352380751819696,0.842947679402332,-0.0396412030942435,0.943471901157945,0.997847168882565,0.0181637990532821,0.929271627753669,0.997173059559309,-0.178364519276553,0.207805986954365,0.774806317873163,-0.254498974095596,0.0674557678640784,0.474738164841976,0.0756816377279067,0.00736745909469213,0.895393490411447,0.324971696577357,0.0287140113919625,0.0287140113919625
"A2AHC3",-0.0121014537733811,0.264382542051867,0.145581928795412,0.00569460941410291,0.117334019666381,0.102758460761302,0.0486665758203492,-0.103013338111915,-0.103142956228053,-0.171197959736662,-0.276483995825248,0.14766456170294,0.779756929879039,0.139887319381309,0.652072057133833,0.987445030791287,0.0145755589050796,0.925305935320556,0.997173059559309,0.151679913932264,0.337786752932933,0.858600189299075,0.0680550035086088,0.624233418869311,0.892393804538151,0.593163142728629,0.015265267245272,0.164164364339403,0.809573553364885,0.0498190081157209,0.0498190081157209
"A2AJA9",0.0743564833951964,0.0134140367349346,0.0308101406346229,0.157304180402715,0.0327929414940899,0.0691378958365928,-0.0541177803369089,-0.112005611631389,-0.0580165112396524,-0.0815509955948405,0.0609424466602618,0.68071242839951,0.931572853384735,-0.126494039768092,0.303756965843104,0.969579718056114,-0.0363449543425029,0.806787578744959,0.980329978536762,0.0578878312944805,0.612574723113636,0.938483025184095,0.0235344843551881,0.801784261676725,0.954554208924589,0.910233356724814,0.0174706041898152,0.767494954804865,0.962113215792597,0.055309445141381,0.055309445141381
"A2ALS5",-0.0862110836555043,-0.0277763977062073,-0.0936364396574291,0.00238045284061596,-0.0523774923963245,0.0752813664552937,0.0233044765944573,0.0518733678663681,0.0162428130396777,0.0885231910878476,-0.0584346859492971,0.392134946480692,0.854334709614111,-0.0960168924980451,0.0324088762402557,0.969579718056114,-0.127658858851618,0.126786242426096,0.898433433596034,-0.0285688912719108,0.671594312294174,0.94733566823885,-0.0722803780481699,0.507978860517338,0.845838843065678,0.0181714145759627,0.00878392356770622,0.697597894008731,0.156362726698433,0.0328913807851047,0.0328913807851047
"A2ALU4",0.0270316748922279,-0.155280425654261,-0.152414500823122,0.238186359315324,-0.204578156647492,0.0126198643340371,0.00155174511876722,0.238342401801548,0.00343120094479609,0.14144285445471,0.182312100546489,0.436573082418709,0.879175663606423,-0.390600860138446,0.0167125127572439,0.969579718056114,-0.217198020981529,0.334890252568363,0.927068850807713,-0.236790656682781,0.314169812277277,0.850170453278688,-0.138011653509914,0.163568741863288,0.615905976577561,0.081374151321344,0.200440343959819,0.554640021131531,0.333657044181072,0.339862340885824,0.339862340885824
