ori.ID,Symbol,Log2FC,p,Group
P28798,Grn,1.525252276,0.012583591,11
Q61233,Lcp1,1.958346242,0.002231191,9
Q9D1L9,Lamtor5,1.248200306,0.00062931,6
Q91WD1,Polr3d,2.364773707,0.000416823,4
P02088,Hbb-b1,4.120105612,0.004147818,3
Q02105,C1qc,2.311640489,9.44E-06,9
Q02105,C1qc,1.952349363,0.002963236,11
P14106,C1qb,2.014227011,0.045877938,9
P14106,C1qb,1.820755687,0.002962331,11
O08576,Rundc3a,1.251815679,0.02777274,6
O08576,Rundc3a,1.402020488,0.009339689,9
Q3UHX2,Pdap1,1.834049414,0.005729787,4
Q3UHX2,Pdap1,1.389355874,0.02189126,6
Q3U4K3,Ndufv3,1.211599453,0.028876075,3
Q3U4K3,Ndufv3,0.731723712,0.032631401,4
Q8BTG3,Tcp11l1,1.22196303,0.013712546,4
Q8BTG3,Tcp11l1,1.228346672,0.049486936,6
Q8BTG3,Tcp11l1,1.225319877,0.049176387,9
P20060,Hexb,1.798569834,0.014786639,6
P20060,Hexb,3.214207332,0.000129505,9
P20060,Hexb,2.393610666,0.000308926,11
Q06890,Clu,2.332141792,0.0061222,6
Q06890,Clu,4.922809363,0.000293026,9
Q06890,Clu,1.906797425,0.001623108,11
O89051,Itm2b,1.414523451,0.02075276,6
O89051,Itm2b,1.703196229,0.00046444,9
O89051,Itm2b,1.766205986,0.001173889,11
P03995,Gfap,1.692701554,0.001480451,4
P03995,Gfap,2.789120035,0.006749371,6
P03995,Gfap,4.530919144,8.08E-05,9
P03995,Gfap,3.057468668,0.001798238,11
P08226,Apoe,1.647966703,0.003361189,4
P08226,Apoe,2.313384165,0.00556303,6
P08226,Apoe,4.562897941,8.30E-05,9
P08226,Apoe,3.894250845,1.93E-06,11
Q920E5,Fdps,1.320279047,0.010680079,4
Q920E5,Fdps,1.279686286,0.003780862,6
Q920E5,Fdps,1.411628559,0.006264888,9
Q920E5,Fdps,1.405322463,0.002038135,11
P12023,App,3.937426167,0.000838127,3
P12023,App,2.848500029,0.006465166,4
P12023,App,4.104251312,0.000708012,6
P12023,App,4.973791369,1.54E-05,9
P12023,App,6.241814182,3.63E-06,11
