"","AD3","WT3","AD4","WT4","AD6","WT6","AD9","WT9","AD11","WT11","mo3_log2fc","mo3_P","mo3_Q","mo4_log2fc","mo4_P","mo4_Q","mo6_log2fc","mo6_P","mo6_Q","mo9_log2fc","mo9_P","mo9_Q","mo11_log2fc","mo11_P","mo11_Q","disease","age","interaction","diseaseQ","ageQ","interactionQ"
"A2A432",-0.0136149791934579,0.132962820970203,0.082255693629209,-0.119565888668557,0.0866908925728945,0.0772538063443728,0.0208662401458949,0.273531502352556,-0.362255023783639,0.141482771254277,-0.146577800163661,0.351296471462286,0.842947679402412,0.201821582297766,0.300091684331088,0.96957971805603,0.00943708622852167,0.976525413057327,0.997173059559214,-0.252665262206662,0.37677906023031,0.873295664039992,-0.503737795037916,0.0396768343431016,0.40593481908814,0.170448279913354,0.659616597720099,0.133855952797503,0.469362504786034,0.770011857660724,0.87806384165878
"A2A5R2",-0.103561549000289,0.229365943562041,-0.0676973613610075,0.177372001830944,-0.054409629411162,0.0823750685448545,-0.113264337180929,-0.0808939060643479,-0.122646195526916,-0.125694672048886,-0.332927492562331,0.163858172516749,0.782803305363469,-0.245069363191952,0.350486230863781,0.96957971805603,-0.136784697956017,0.560744535061998,0.949488977754948,-0.0323704311165808,0.851708641000483,0.980793382058531,0.00304847652196968,0.987758622138245,0.99762288884246,0.13288894107287,0.0667601969540284,0.142530003115939,0.418871944430043,0.151967801443347,0.880372938739371
"A2A690",0.16279335146573,0.105626934451943,0.0927129114141183,0.0322548833370959,0.163258825579936,0.164031064512504,-0.116040933409481,0.0768239536694852,0.114227755717266,0.0313014903073685,0.0571664170137865,0.717800924569556,0.938897055874703,0.0604580280770223,0.688093758596024,0.989023469043449,-0.000772238932568337,0.996102629617455,0.99839897276975,-0.192864887078966,0.351180217323251,0.862310025539164,0.082926265409898,0.221752578785781,0.674907298267495,0.805015235739649,0.166196574816098,0.513676378162573,0.920252590549006,0.297496430583436,0.962664768097455
"A2A699",-0.0522741769092682,-0.0670082588160953,-0.34946722048812,0.0619402423674504,0.230720435791971,0.160775086642338,-0.0410109877164908,0.0323807264441464,0.25253570206242,0.133377717026263,0.0147340819068271,0.918574279488257,0.982770152201996,-0.41140746285557,0.324746011574768,0.96957971805603,0.0699453491496324,0.71321765137602,0.968971013690161,-0.0733917141606372,0.609680603656678,0.93813613924836,0.119157985036157,0.577070081415593,0.874658486946675,0.417267692662911,0.0901201881089871,0.484768701855391,0.704690755886911,0.191132951799711,0.959638658530463
"A2ADY9",-0.153697344469267,-0.000688580365487482,-0.114507298240905,-0.113343179194013,0.00196975963059205,0.00712222057874252,-0.00100350648001818,-0.0543486557863519,-0.0404666816398803,0.0511805021881023,-0.153008764103779,0.0464960821864712,0.710699881233054,-0.00116411904689236,0.992549338337151,0.997905885256487,-0.00515246094815047,0.96873262361919,0.997173059559214,0.0533451493063337,0.662766615808222,0.945591713583789,-0.0916471838279826,0.587588860536268,0.877949687829264,0.332978670413038,0.138480912941156,0.708249742244898,0.643929182905729,0.26101917742714,0.981367295114833
"A2AG50",-0.252132096673333,0.0779837828598188,-0.31246040684339,-0.272819203749148,0.108522080731925,0.0903582816786526,0.0312581269606121,0.209622646237144,0.111220349507518,0.365719323603108,-0.330115879533151,0.352380751819675,0.842947679402412,-0.0396412030942413,0.943471901157947,0.997847168882505,0.0181637990532728,0.929271627753704,0.997173059559214,-0.178364519276532,0.207805986954415,0.774806317872741,-0.25449897409559,0.0674557678640764,0.474738164841962,0.0756816377279042,0.00736745909469228,0.895393490411485,0.324971696577343,0.028714011391963,0.997056020886201
"A2AHC3",-0.0121014537733762,0.264382542051904,0.145581928795411,0.00569460941411037,0.117334019666394,0.102758460761294,0.0486665758203481,-0.103013338111934,-0.103142956228052,-0.17119795973665,-0.27648399582528,0.147664561702892,0.779756929879003,0.139887319381301,0.652072057133857,0.987445030791325,0.0145755589051,0.925305935320455,0.997173059559214,0.151679913932282,0.337786752932895,0.858600189299033,0.0680550035085977,0.624233418869362,0.892393804538078,0.593163142728682,0.0152652672452688,0.164164364339388,0.809573553364957,0.0498190081157103,0.884733188264778
"A2AJA9",0.0743564833951965,0.0134140367349441,0.0308101406346155,0.157304180402713,0.0327929414940993,0.069137895836589,-0.0541177803369046,-0.112005611631395,-0.058016511239663,-0.0815509955948387,0.0609424466602524,0.680712428399549,0.931572853384626,-0.126494039768098,0.303756965843064,0.96957971805603,-0.0363449543424897,0.80678757874503,0.980329978536785,0.0578878312944901,0.612574723113597,0.938483025184055,0.0235344843551757,0.801784261676823,0.954554208924708,0.910233356724826,0.0174706041898128,0.767494954804854,0.962113215792611,0.0553094451413733,0.990503878018269
"A2ALS5",-0.0862110836555015,-0.0277763977061968,-0.0936364396574291,0.00238045284063575,-0.0523774923963098,0.0752813664552964,0.0233044765944693,0.0518733678663643,0.0162428130396806,0.0885231910878432,-0.0584346859493047,0.392134946480683,0.8543347096141,-0.0960168924980648,0.0324088762402397,0.96957971805603,-0.127658858851606,0.126786242426124,0.89843343359614,-0.0285688912718951,0.671594312294334,0.947335668238843,-0.0722803780481626,0.507978860517394,0.845838843065772,0.0181714145759712,0.00878392356771205,0.697597894008525,0.156362726698558,0.0328913807851266,0.981106507342124
"A2ALU4",0.0270316748922264,-0.155280425654244,-0.152414500823112,0.238186359315335,-0.204578156647467,0.0126198643340458,0.00155174511876935,0.238342401801539,0.00343120094479016,0.141442854454702,0.18231210054647,0.43657308241877,0.879175663606169,-0.390600860138447,0.0167125127572363,0.96957971805603,-0.217198020981513,0.334890252568406,0.927068850807911,-0.23679065668277,0.314169812277299,0.850170453278749,-0.138011653509911,0.163568741863269,0.615905976577497,0.0813741513213492,0.200440343959876,0.554640021131587,0.333657044180864,0.339862340885867,0.973686950701301
"A2AN08",0.117066612051021,-0.114244923307446,-0.14833428232724,-0.189717888736047,0.11506809906198,0.0989683147831066,-0.0428858584541367,-0.120261593001648,-0.0642173391729686,-0.143090807579362,0.231311535358467,0.320190634331289,0.831040665212366,0.0413836064088074,0.785945900679933,0.989948227914848,0.0160997842788735,0.904869162126055,0.996972808155683,0.0773757345475111,0.496557645622493,0.904576381434271,0.0788734684063931,0.494527164258913,0.843040029736443,0.175639920449628,0.409652539719923,0.722550286680275,0.478606552033005,0.566420631775285,0.986510562379594
"A2APX8",0.28092752059247,0.159394897796752,0.326979351836615,0.0298112613493731,0.365259320287074,0.207726184514962,0.201102322908044,-0.141883758389909,0.0389427601668948,-0.0336159827616464,0.121532622795718,0.343091803790064,0.842947679402412,0.297168090487242,0.292347094716634,0.96957971805603,0.157533135772112,0.526547193266965,0.943908193908894,0.342986081297953,0.095013061620793,0.687948452695216,0.0725587429285412,0.44132570538459,0.8160484988159,0.00993084044859665,0.0240274206046912,0.893704726429551,0.114292290221643,0.069747252838395,0.997056020886201
"A2AQ07",-0.382212673277035,-0.0719489686161565,0.0131106174888984,-0.115178522165108,-0.228294720255187,-0.321782213940894,-0.125246117305574,0.15228532169091,0.254754205197007,0.0223220018963361,-0.310263704660878,0.32167955085865,0.831040665212366,0.128289139654007,0.372333767276817,0.96957971805603,0.0934874936857072,0.695306761972731,0.967391249119631,-0.277531438996484,0.167116876365939,0.745472783449509,0.23243220330067,0.432118492009211,0.813699980637847,0.663510806146701,0.0459404605889461,0.50708268702763,0.844682111696082,0.114354339875666,0.961683833221012
"A2AQ25",0.0234753655390965,0.11813721717695,0.0479601969634358,-0.15013385165277,0.0642003883701423,0.000875851930805228,-0.245918475497679,-0.15104101243072,-0.142805660905992,-0.0640548491667135,-0.0946618516378534,0.317955906305275,0.831040665212366,0.198094048616206,0.0489206079430825,0.96957971805603,0.063324536439337,0.580402111776821,0.952099675009052,-0.0948774630669582,0.48568690281308,0.901677632406021,-0.0787508117392786,0.416133517959724,0.807226982786468,0.535859516435243,0.00322595713706161,0.177027620754357,0.779828432008822,0.0153753596556907,0.889477890837765
"A2ARP1",0.0759637399498962,0.285890053667341,0.121124530422926,0.273183313470438,0.172116734231844,0.33755154206042,0.133375925918254,0.394657889137586,0.0547902794279673,0.190973052291244,-0.209926313717445,0.315055468745863,0.830807781714302,-0.152058783047513,0.530240356460572,0.976966538247286,-0.165434807828575,0.444164052945501,0.941017695231565,-0.261281963219332,0.116691904978159,0.697615816860045,-0.136182772863277,0.436521832833287,0.815326936456635,0.0355860297541383,0.664557000202084,0.73724568949328,0.222049985089089,0.773241612188747,0.9882981784814
"A2ASZ8",0.0776929664877566,0.176634154355878,-0.0461881157138666,0.138588747857352,0.00579590208604132,0.126690507959952,-0.0965187331311994,-0.227731480469034,-0.184430568923649,-0.0779666287169079,-0.0989411878681219,0.533402169831364,0.90276932982272,-0.184776863571219,0.344316256793258,0.96957971805603,-0.120894605873911,0.367457596149523,0.929674973484846,0.131212747337835,0.519882968202376,0.913061963454172,-0.106463940206741,0.415575997361239,0.807226982786468,0.300772017000207,0.00390184021606574,0.603760685177382,0.61563987295197,0.017836332669936,0.974347605165207
"A2AVA0",-0.181104398109135,0.16285737305653,0.0525688938399535,0.0780403394403918,-0.0215205766578969,-0.0330264901004086,0.0494693140727955,-0.0051833796085975,-0.0218582233537114,0.226128413257634,-0.343961771165666,0.0874634358584228,0.755843439119931,-0.0254714456004383,0.691065256650764,0.989023469043449,0.0115059134425117,0.920727512358498,0.997173059559214,0.054652693681393,0.670658808351477,0.947203449283638,-0.247986636611345,0.0219038746357342,0.359371251983828,0.0221299219640869,0.13578669056072,0.832937358481927,0.172522563150855,0.257055307287904,0.991958509470822
"A2AWA9",0.0402590560641794,0.0463401753186344,-0.0499056183895693,0.191347211591434,-0.0491221212945939,0.0318655591378742,0.0171205016083535,-0.066045021896412,0.14103713804486,0.0328052085625746,-0.00608111925445497,0.949486280608684,0.986021056446384,-0.241252829981004,0.157854548976635,0.96957971805603,-0.0809876804324681,0.680639940085999,0.965652299719347,0.0831655235047654,0.731513944633587,0.957694482015926,0.108231929482286,0.523162126462856,0.85013845550214,0.748861223488027,0.949248344537534,0.334286125886857,0.887698869284656,0.971595284377549,0.915360321656872
"A2BDX3",-0.0144264917558047,-0.275708169482301,-0.0110070716845631,-0.0550129892260661,-0.114508481257097,-0.0750548112513102,0.152106986517043,0.0398331540035803,0.220016218445983,0.206091267565241,0.261281677726497,0.210231811196326,0.795308967051416,0.044005917541503,0.647020736475348,0.987445030791325,-0.0394536700057869,0.784691776304984,0.977075331258959,0.112273832513463,0.465945917386448,0.90045567978507,0.0139249508807419,0.920424982323596,0.982040137686883,0.365489131886395,0.000156551338986696,0.357969151301085,0.673821034049882,0.00143391138979492,0.918453176824712
"A2CG49",0.595645365379973,0.524313057402954,0.583812246251988,0.603812758789824,-0.232097071390379,0.444642366976203,-0.145867692067193,0.195684718632082,-0.228699521610116,0.00697068383756171,0.0713323079770191,0.83625855286982,0.970230327440283,-0.0200005125378363,0.954234004466191,0.997847168882505,-0.676739438366583,0.0512405808210611,0.870932560187892,-0.341552410699275,0.198665081702854,0.765971694959604,-0.235670205447678,0.541339854790674,0.857943641877645,0.156622143116846,0.000213475670511767,0.4069759886547,0.45179684106899,0.0018480758821074,0.931421638547284
"A2RSJ4",0.0271338170279367,-0.115557372533361,0.0217651713076126,-0.305069985847952,0.12346957760052,-0.0202116743990391,-0.0570269835578619,0.0861552560400186,0.0687402102747092,-0.171104389073413,0.142691189561297,0.179520198937132,0.786051146836813,0.326835157155565,0.0973306392258868,0.96957971805603,0.143681251999559,0.215939255408618,0.900591802772306,-0.143182239597881,0.514255801066124,0.910947464722383,0.239844599348122,0.0717766689272429,0.486678954917103,0.037854283158166,0.978048081169921,0.687013369379315,0.227882784612159,0.986866815863036,0.981106507342124
"A2RSQ0",0.0590863775952776,0.145313624364947,0.0520771422334967,0.00256268099274975,-0.105292922682905,-0.0678818471890566,-0.0958495312924112,-0.191194357267807,-0.146324855310796,-0.161386945878546,-0.0862272467696694,0.655109947413411,0.92305726807875,0.049514461240747,0.618785631903747,0.987361816544525,-0.0374110754938481,0.828708985433824,0.982243648454837,0.0953448259753963,0.385320609224218,0.876494265076723,0.0150620905677497,0.84932656823151,0.968001378521104,0.752624924382592,0.00141182816341379,0.625834407014131,0.890811049337291,0.00819656320984888,0.976076119322771
"A2RSX7",-0.0754994441206792,-0.035281934042335,-0.0843065745542949,-0.164421343737698,-0.0517186995242496,0.0372195509644839,0.0388743413028717,0.0533558183379023,0.012325454104289,0.201210134446717,-0.0402175100783443,0.740377122410989,0.943663972057227,0.0801147691834032,0.347146870199994,0.96957971805603,-0.0889382504887335,0.088489624508527,0.877511206643356,-0.0144814770350306,0.887774801569837,0.988859322101558,-0.188884680342428,0.14307678763537,0.588706067315669,0.0814248522385584,0.000682434966529099,0.176227517200723,0.333657044180864,0.00464411830265802,0.889477890837765
"A2RT62",-0.192868736219057,0.115776626063578,-0.156504807603028,-0.0339411989613923,-0.0477596211945431,0.0977479238692257,0.0937225910071851,0.121344164126035,-0.0382830884207217,0.107998304233723,-0.308645362282636,0.0227488127679202,0.677333289293373,-0.122563608641636,0.373992322484694,0.96957971805603,-0.145507545063769,0.240902354648175,0.903380615494232,-0.0276215731188498,0.613046437295798,0.938483025184055,-0.146281392654445,0.0903851498255197,0.520467891882135,0.00139236380112908,0.0108812376768073,0.0854590842399477,0.0397898226251734,0.0382144833029967,0.846227544011896
