"","Astrocyte","Neuron","Microglia","Oligo"
"DEP 3M","4.7e-01","2.4e-01","3.3e-01","1.2e-02"
"DEP 4M","7.7e-01","6.8e-01","4.1e-01","4.6e-02"
"DEP 6M","8.8e-01","9.5e-01","4.4e-01","4.7e-01"
"DEP 9M","3.0e-02","5.4e-01","8.2e-03","5.2e-01"
"DEP 11M","3.0e-01","1.8e-01","1.4e-01","3.7e-02"
"DAP 3M13","5.4e-01","3.2e-01","2.0e+00","6.4e-04"
"DAP 4M3","4.1e-02","9.2e-01","7.8e-05","2.3e-01"
"DAP 6M3","9.6e-03","8.3e-01","2.4e-04","4.7e-01"
"DAP 9M3","6.9e-03","7.5e-01","9.1e-05","3.6e-01"
"DAP 11M3","1.7e-02","8.9e-01","9.7e-06","3.8e-01"
"DAP 11M13","2.8e-01","2.8e-01","2.0e+00","3.5e-04"
